species,protein_accession,nucleotide_accession,status,error_message
Pseudogracilibacillus auburnensis,WP_110397147.1,NZ_JBHUHB010000001.1,success,
Ornithinibacillus gellani,WP_123316088.1,NZ_QTSZ01000029.1,success,
Cerasibacillus terrae,CAQ6071783.1,CEVRTV010000018.1,success,
Sporosarcina pasteurii,XEE11172.1,CP160452.1,success,
Luteimonas dalianensis,XUN68116.1,CP186085.1,success,
Halomonas pellis,WP_149329667.1,NZ_VTPY01000007.1,success,
Staphylococcus arlettae,QBN20806.1,MG983072.1,success,
Ornithinibacillus halophilus,WP_084063223.1,NZ_FQVW01000008.1,success,
Enterococcus faecium,WP_486504203.1,NZ_JBYAUJ010000749.1,success,
Virgibacillus kimchii,WP_461182849.1,NZ_AP043951.1,success,
Oceanobacillus halotolerans,WP_163969554.1,NZ_WIXL01000001.1,success,
Paracoccus jeotgali,WP_313136508.1,NZ_DAMATE010000006.1,success,
Enterococcus durans,UQR07498.1,CP088203.1,success,
Oceanisphaera avium,WP_086964560.1,NZ_CP021376.1,success,
Pseudothauera rhizosphaerae,WP_230976768.1,NZ_SSOD01000008.1,success,
Niallia oryzisoli,WP_394237792.1,NZ_JBHOFM010000010.1,success,
Bifidobacterium pullorum,GAA0853007.1,BAAACN010000101.1,success,
Niallia circulans,QBN20816.1,MG983082.1,success,
Ammoniphilus oxalaticus,WP_120189710.1,NZ_MCHY01000008.1,success,
Halomonas gudaonensis,WP_089682918.1,NZ_FNES01000002.1,success,
Virgibacillus profundi,WP_095654369.1,,failed,no /coded_by qualifier found
Halomonas antri,WP_419976893.1,NZ_JBMAMI010000025.1,success,
Aliibacillus thermotolerans,WP_270895261.1,NZ_JBHSPF010000012.1,success,
Peribacillus asahii,WP_403151517.1,NZ_JBIWHA010000003.1,success,
Pontibaca methylaminivorans,WP_333683635.1,NZ_DAIPDV010000015.1,success,
Neobacillus massiliamazoniensis,WP_090634586.1,NZ_CVRB01000002.1,success,
Halomonas nitroreducens,WP_342774438.1,NZ_RXNS01000007.1,success,
Halopseudomonas pertucinogena,WP_373288230.1,NZ_BMNN01000005.1,success,
Halomonas desiderata,WP_481618932.1,NZ_CDVPMI010000002.1,success,
Paracoccus alcaliphilus,WCR18397.1,CP067124.1,success,
Pusillimonas ginsengisoli,WP_414184041.1,NZ_JBLGTU010000003.1,success,
Falsochrobactrum shanghaiense,WP_109706888.1,NZ_QGDB01000004.1,success,
Bacillus salipaludis,WP_406578883.1,NZ_JBJHQH010000001.1,success,
Rhodohalobacter halophilus,WP_069131519.1,NZ_MDWE01000024.1,success,
Ammoniphilus resinae,WP_209810492.1,NZ_JAGGKT010000006.1,success,
Cerasibacillus quisquiliarum,WP_146937994.1,NZ_BJXW01000021.1,success,
Parabacteroides distasonis,QUT93879.1,CP072254.1,success,
Oceanobacillus picturae,GAQ18166.1,BBXV01000024.1,success,
Proteus mirabilis,WP_302283363.1,NZ_JAULEF010000511.1,success,
Bacillus velezensis,XLH14111.1,CP166492.1,success,
Sphingobacterium lactis,WP_344675394.1,NZ_JBNHAS010000003.1,success,
Oceanicella actignis,WP_148923662.1,NZ_VNHJ01000017.1,success,
Savagea serpentis,CAQ8673970.1,CEVUEV010000061.1,success,
Alcaligenes faecalis,WP_257112553.1,NZ_CP097341.1,success,
Kurthia populi,WP_126989614.1,NZ_JBHUOR010000133.1,success,
Methylocystis echinoides,WP_464593654.1,NZ_AP038937.1,success,
Halomonas tibetensis,WP_379756960.1,NZ_JBHRSQ010000009.1,success,
Oceanobacillus halophilus,WP_121204354.1,NZ_RBZP01000007.1,success,
Neobacillus cucumis,WP_498972786.1,NZ_CP126111.1,success,
Neobacillus niacini,WP_335413999.1,NZ_JBALOO010000036.1,success,
Parapedobacter soli,WP_262247939.1,NZ_JAMXAY010000022.1,success,
Bacillus rhizoplanae,WP_429720760.1,NZ_JBCMJV010000029.1,success,
Oligella ureolytica,CAM5203982.1,CAXHVF020000105.1,success,
Bacillus subtilis,YFS53619.1,CP170582.1,success,
Neobacillus bataviensis,WP_098527700.1,NZ_CM160068.1,success,
Schinkia azotoformans,WP_233276046.1,NZ_JARSLZ010000047.1,success,
Priestia megaterium,WP_282274362.1,NZ_JASBCR010000035.1,success,
Parasutterella excrementihominis,WP_496197392.1,,failed,no /coded_by qualifier found
Pseudomonas saudimassiliensis,WP_044498740.1,NZ_LK391969.1,success,
